V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8,V_9,V_10,V_11,V_12,V_13,V_14,V_15,V_16,V_17,V_18,V_19,V_20,V_21,V_22,V_23,V_24,V_25,V_26,V_27,V_28,V_29,V_30,V_31,V_32,V_33,V_34,V_35,V_36,V_37,V_38,V_39,V_40,V_41,V_42,TargetVariable
5.500425355,1.607814122,42.7519646,30.7057323,70.23695,37.9436531,59.2307625,8487.349,31.5963287,412.59613,57.40444,1032.88806,23.9,23.9922352,1.04532814,25.6297779,73.64004,53.5728,52.2438774,73,261.637146,32.93953,6.826465,569,32.098732,168.439163,373.376862,373.002136,73,114.9166,27,1.04479671,3146.47534,8477.125,294.955261,259.0086,3203.8855,3610.82959,12.187211,2416.072,1799.25769,6.81901264,716
4.732342306,1.62101523,42.7519646,30.5309334,69.23171,37.6208649,58.8923531,8438.195,32.23587,412.6516,57.44259,1032.77844,23.9,23.9831829,1.04443169,25.6207275,73.6781845,53.6341362,52.48112,73,261.572754,31.1496563,5.120146,569,32.16961,172.812347,371.0506,371.280579,73,124.1,27,1.04528975,3130.96533,8404.168,290.310516,264.558868,3130.35,3576.39746,12.0741549,2402.12,1799.7655,8.605547,699.4166667
4.71377571,1.626682989,42.9427032,31.1135159,68.93645,38.61554,58.2246246,8335.584,30.27272,408.2265,57.1755562,1032.97241,23.9,23.9853268,1.045052,25.6031342,73.41497,54.404026,53.4348145,72,261.038574,33.1048126,5.92750025,563,31.7160816,170.079422,366.957428,366.559479,73,124.1,27,1.04502118,3094.21631,8369.85449,292.2995,273.6552,2988.8606,3381,11.9624481,2407.60034,1800.27454,6.90934849,697.75
4.635860715,1.590957515,42.33234,29.78377,70.8160248,37.4027023,59.16859,8462.531,31.67366,408.961029,57.0229645,1033.1001,23.9,23.9883671,1.044887,25.63316,73.55681,53.0008125,52.892662,73,260.127441,33.2118225,6.681173,568,32.075737,168.429031,373.5803,372.827332,73,124.1,27,1.04489124,3137.43018,8513.735,297.5723,260.5718,3218.53149,3625.109,12.1225185,2405.05469,1800.01367,6.814297,671.3333333
4.67928973,1.605145917,43.0914574,30.0791645,69.98763,38.38736,59.0226479,8429.555,32.9553375,408.187775,57.0649452,1017.90228,23.9,23.9936428,1.04449522,25.6826344,73.60189,53.68934,52.8416367,73,261.892761,32.2153168,7.116519,568,32.05085,168.2176,370.777344,370.826324,73,114.9166,27,1.04455078,3121.15039,8435.237,298.705322,264.4567,3203.28784,3620.26855,12.1158047,2413.11255,1800.21191,6.89044,722.5
5.556339109,1.616559687,42.9045563,29.4854031,69.9443054,38.3977737,58.5889168,8389.077,32.686676,410.499481,56.4993973,1019.92871,23.9,23.9885464,1.04434049,25.6536465,73.67394,53.471035,52.08762,73,258.2397,32.27666,4.4639616,568,32.068428,169.403015,369.583771,368.482819,73,124.1,27,1.04492152,3088.786,8358.691,297.284332,265.647217,3192.22827,3601.42871,12.2936993,2414.13,1799.054,7.43783331,690.0833333
5.460474759,1.599526251,42.9045563,29.5165787,70.20467,38.5485535,59.02698,8475.994,33.0423546,406.987274,56.9085236,1018.106,23.9,23.9767475,1.04540217,25.6169834,73.64004,53.5166245,52.31898,73,262.594635,32.36971,5.251463,568,32.014,172.75174,373.733429,373.740417,73,114.9166,27,1.04453456,3149.11719,8486.609,287.199127,262.411438,3184.08618,3624.45874,12.6235428,2407.337,1799.34656,8.6398735,672.9166667
5.53864733,1.625111798,42.446785,29.342144,69.09203,39.1266556,58.3569641,8340.297,31.1979752,405.2144,55.9624634,1018.48163,23.9,23.9577,1.04471815,25.6110477,73.74358,53.90449,51.02877,72,261.9197,32.52851,8.43219,560,31.6206951,170.158051,367.076141,367.055084,73,114.9166,27,1.04527366,3093.48145,8350.34,283.337616,263.643768,3181.5105,3602.19678,12.0639572,2409.29785,1800.23621,7.3467207,706.5
5.563480626,1.625461502,42.33234,28.8941669,69.06704,38.5158577,58.3894653,8361.637,31.10704,404.779968,56.0221558,1016.90314,23.9,23.9652081,1.04453182,25.6271515,73.60189,53.8562355,52.4194565,72,258.8841,32.6095161,8.19160652,560,31.6362476,169.41124,368.120422,367.805939,73,114.9166,27,1.043292,3088.689,8370.666,274.45755,260.4981,3290.33765,3689.93384,11.8229609,2407.782,1799.569,7.241613,724.8
5.567677092,1.622203696,42.4779243,29.1168346,70.36156,39.0636864,58.7389946,8417.46,32.7203064,406.866974,56.4927139,1016.8667,23.9,23.9831829,1.04495144,25.6133747,73.41497,53.8325081,53.134922,72,261.622253,32.6228752,7.69721127,564,31.87009,172.5573,371.931976,370.9413,73,115.592583,27,1.04530787,3125.35229,8404.154,274.0103,255.957779,3276.74219,3707.32715,11.6656733,2423.32349,1799.24878,7.984531,724.3333333
